,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.806006399679317,-1.802315433817206,-1.146599973985398,-1.8139468244801074,-1.0
1,2.0,-1.0,-1.4923808837380874,-1.4965558252711075,-0.9169534995920922,-1.5098397149721432,-2.0
2,1.0,-1.0,-1.1471205128457145,-0.6455451461951115,-1.1508325258063834,-1.1403057733110016,-3.0
3,1.0,-1.0,-0.939098081353159,-0.44547109619279696,-0.8693134109169454,-0.9279849268055831,-4.0
4,2.0,-1.0,-0.8455262876041822,-0.8126182611643296,-0.28845438855849886,-0.8985475085506575,-5.0
5,1.0,1.0,-0.38132410220513446,0.8449421197775763,-0.325736350512956,-0.5039534790377107,-4.0
