,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.8013316655269884,-1.8403005556711087,-0.6400323162783427,-1.8072479819847669,-1.0
1,2.0,-1.0,-1.489343890057143,-1.518587435567746,-0.5449060536942063,-1.5213720235746948,-2.0
2,1.0,-1.0,-1.1801530532697466,-0.40162687658081564,-1.1675263581197404,-1.1787498468947366,-3.0
3,1.0,-1.0,-0.9829026789626879,-0.2789305998236164,-0.8926175817008914,-1.0113311361922648,-4.0
4,2.0,-1.0,-0.8674458087960727,-0.8332702555762566,-0.18922046939057116,-0.9798078306290282,-5.0
5,1.0,1.0,-0.4309510756774198,0.8760964481339096,-0.31843405583563317,-0.5580689246267766,-4.0
