,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.7965647371289546,-1.859895908606578,-0.5743357809157236,-1.802228291431724,-1.0
1,2.0,-1.0,-1.4889137906854248,-1.518587435567746,-0.48550498119916935,-1.5226935190908533,-2.0
2,1.0,-1.0,-1.1835358379488423,-0.3900241431935893,-1.187869320376878,-1.1814422433050331,-3.0
3,3.0,-1.0,-0.9898811930357083,-0.2552615134799467,-0.8930472081379851,-1.0340402324842657,-4.0
4,2.0,-1.0,-1.1274174654950548,-1.1274567060867522,-0.8537397038274728,-1.1350791179997628,-5.0
5,1.0,-1.0,-0.9898811930357083,-0.2545706188040731,-0.8930472081379851,-1.0340402324842657,-6.0
6,2.0,-1.0,-0.8782506714456814,-0.8332702555762566,-0.20739495653106543,-0.9798078306290282,-7.0
7,1.0,1.0,-0.43558124144884536,0.8233723345863267,-0.31843405583563317,-0.572375803254533,-6.0
